Product,Sub-product,Issue,Sub-issue,State,Company,Company response,Timely response?,Complaint ID,ZIP code
5,20,62,22,49,1526,1,1,1286087,37087
0,4,36,22,7,1498,1,1,1286053,95624
8,25,21,22,29,1291,1,1,1284366,64052
0,4,36,22,50,729,1,1,1286082,75006
3,25,49,20,19,1398,3,1,1286132,47872
4,27,24,11,9,246,1,1,1286079,6478
4,7,24,11,50,147,1,1,1286076,78501
6,11,54,22,36,159,1,1,1286078,8016
4,27,46,8,43,1401,4,1,1283561,18840
3,25,49,32,49,518,1,1,1283468,37160
3,25,49,20,43,494,1,1,1283462,19124
4,27,24,14,9,489,3,1,1283463,6513
4,27,24,11,7,489,3,1,1283492,90249
3,25,49,1,13,1398,1,1,1283484,31313
4,27,81,44,36,1401,4,1,1283476,7018
4,27,24,11,13,489,3,1,1283470,30333
3,25,49,0,39,494,1,1,1283531,13044
3,25,49,20,8,1398,1,1,1283672,80016
6,17,54,22,41,644,1,1,1283560,74112
3,25,83,28,12,494,1,1,1283586,34481
4,21,24,14,50,1336,1,1,1283549,75010
0,28,58,22,36,1498,1,1,1283584,8322
4,27,24,11,37,1401,4,1,1283578,87108
4,27,46,8,43,128,1,1,1283562,18840
4,21,24,14,39,994,1,1,1283610,11365
3,25,49,32,32,494,1,1,1283671,27705
1,19,79,22,12,1498,1,1,1283602,33971
4,25,37,25,40,423,0,1,1283600,45895
4,21,24,11,50,1080,1,1,1283659,75054
3,25,49,20,9,1398,3,1,1283626,6902
3,25,49,20,39,494,1,1,1283619,14034
2,25,35,22,43,450,1,1,1283457,19124
4,7,24,14,13,115,1,1,1283651,30040
4,27,24,14,7,489,3,1,1283453,92078
4,21,37,25,50,1080,1,1,1283956,75211
4,25,24,11,47,446,1,1,1283951,29016
4,21,24,14,12,1401,1,1,1283272,33137
5,10,43,22,32,903,4,1,1283387,27349
3,25,49,26,23,1398,3,1,1283354,2563
4,27,24,11,18,129,1,1,1283356,60649
0,0,1,22,6,81,4,1,1283350,85387
4,25,24,11,12,943,1,1,1283339,34653
3,25,83,29,39,494,1,1,1283333,11204
3,25,49,35,12,494,1,1,1283316,32835
6,17,55,22,25,644,1,1,1283196,4042
3,25,49,0,39,494,4,1,1283180,10940
3,25,31,31,39,494,4,1,1283310,14905
8,25,69,22,50,1291,1,1,1283259,77065
3,25,49,26,29,494,1,1,1283255,65066
3,25,83,29,50,494,1,1,1283263,79109
8,25,21,22,42,1153,1,1,1283260,97801
3,25,49,32,40,494,4,1,1283275,44001
6,11,55,22,43,1498,1,1,1283295,19543
1,42,60,22,39,81,4,1,1283322,14215
4,24,23,15,32,955,1,1,1283331,28358
3,25,83,28,7,494,3,1,1283329,91506
3,25,49,20,40,494,3,1,1283344,43512
3,25,49,1,56,1398,1,1,1283362,53051
4,1,46,42,12,982,1,1,1283359,32583
1,42,60,22,12,1396,1,1,1283385,33813
3,25,49,0,32,494,1,1,1283373,28625
4,21,40,3,12,740,3,1,1283369,33458
2,25,63,22,24,729,1,1,1283368,21830
4,27,37,25,49,489,3,1,1283392,38116
6,6,54,22,40,1419,1,1,1283388,44708
4,21,24,14,39,1013,1,1,1283401,13317
6,17,55,22,7,996,1,1,1283514,92119
3,25,49,32,3,494,4,1,1283167,96517
6,6,55,22,24,955,1,1,1283429,20814
0,28,1,22,7,1498,1,1,1283418,94549
3,25,83,28,7,494,1,1,1283404,94002
2,25,63,22,32,1498,1,1,1283411,27513
3,25,49,20,39,494,1,1,1283409,13367
3,25,47,37,39,1311,1,1,1283513,13090
3,25,31,31,27,494,1,1,1283512,48317
4,27,37,25,49,489,3,1,1283155,37047
4,21,37,25,47,888,1,1,1283511,29485
3,25,49,32,7,494,3,1,1283508,95677
3,25,31,21,18,494,1,1,1283495,62864
6,6,55,22,12,1341,1,1,1283507,32909
4,21,24,14,52,96,1,1,1283505,20166
1,42,60,22,50,81,4,1,1283500,78214
4,25,24,11,7,246,1,1,1283515,91750
4,25,24,11,7,1498,3,1,1283516,91750
4,7,24,11,6,489,3,1,1283755,85048
3,25,49,20,30,494,4,1,1283748,39556
4,32,23,45,50,490,1,1,1282240,77055
6,11,55,22,12,1498,1,1,1283229,32081
6,29,55,22,24,215,1,1,1283202,21208
5,20,66,22,22,967,4,1,1283243,71378
4,25,37,38,50,489,3,1,1282927,77073
1,42,80,22,50,81,4,1,1282563,75662
3,25,83,29,40,494,1,1,1282406,44484
6,6,54,22,7,955,1,1,1281438,92024
4,7,23,15,7,312,3,1,1282235,90034
3,25,83,28,43,494,1,1,1281196,19468
4,27,24,11,36,377,1,1,1281192,7093
3,25,49,1,23,494,1,1,1281162,2072
3,25,49,1,23,1398,3,1,1281161,2072
4,25,24,14,50,1401,4,1,1281872,79761
4,27,37,25,40,489,3,1,1281923,45342
